 ,Area,StdDev,X,Y
1,65,0,206.254,242.423
2,4,0,206.000,255.500
3,2,0,306.000,272.500
4,1,0,303.500,275.500
5,1,0,349.500,275.500
6,6,0,345.000,277.500
7,3,0,312.500,279.833
8,2,0,343.000,280.000
9,4,0,350.000,279.500
10,153,0,320.101,309.846
11,1,0,337.500,304.500
12,17,0,342.559,312.735
13,6,0,333.667,313.167
14,1,0,337.500,312.500
15,5,0,349.900,313.900
16,456,0,330.364,326.520
17,2,0,315.000,319.500
18,1,0,318.500,319.500
19,1,0,352.500,319.500
20,1,0,301.500,320.500
21,6,0,325.500,321.333
22,1,0,322.500,321.500
